logFC	logCPM	LR	PValue	FDR	hgnc	biotype	RMH3869	RMH3871	RMH3872	RMH3874	RMH3875	RMH3877
ENSMUSG00000041616.9	4.43979257671377	8.91435956148208	214.274567199212	1.60442707490621e-48	2.20528501445859e-44	Nppa	protein_coding	1328.04959403883	65.7825029831734	1113.27074362007	44.7365466666572	982.514014382335	28.4945699545557
ENSMUSG00000042254.7	5.33054370350912	4.79473755876344	114.070351624596	1.25766313904113e-26	8.64328992306014e-23	Cilp	protein_coding	6.46579747979693	0.227825841623127	10.4649347174374	0.354350087819032	22.6202908269749	0.275988777027557
ENSMUSG00000002020.8	4.36222214734354	2.6629751810133	103.478262064927	2.63266924219271e-24	1.20620129113129e-20	Ltbp2	protein_coding	0.952443971965544	0.0940566133309162	1.48533141745293	0.0647614255621417	2.12834564101027	0.0426514901794961
ENSMUSG00000001506.9	3.12812273431802	3.61113088218657	100.411431415315	1.23811441919228e-23	4.25447067294949e-20	Col1a1	protein_coding	2.349545379272	0.35350320762108	4.8184343291851	0.314391556550877	3.40513991383721	0.416784518825736
ENSMUSG00000039376.7	2.18987871105603	7.2424046174123	98.5879209774413	3.10909873985763e-23	8.28701680118527e-20	Synpo2l	protein_coding	53.7133335519308	13.3491176180039	73.2964543241408	10.4103799015537	44.9567586196539	9.43505384005761
ENSMUSG00000024803.8	1.80170992308472	11.1745269653656	98.2880255384313	3.61746822896411e-23	8.28701680118527e-20	Ankrd1	protein_coding	2277.92585661148	643.255569427308	2258.39055421783	532.884222416468	2003.64675264779	478.869095921219
ENSMUSG00000039239.8	2.26017679785653	3.02157083286255	94.0078051122832	3.14282126380209e-22	6.17115403870854e-19	Tgfb2	protein_coding	2.70183513076406	0.461902344936956	3.12181962135261	0.560291206558516	2.8929881805568	0.561606788508768
ENSMUSG00000031849.7	5.46758844233642	2.22729993489177	90.6757614490778	1.69253978413147e-21	2.90799491661089e-18	Comp	protein_coding	2.23037221000179	0.0289888836598006	3.23484140669261	0.109779498817621	6.1848647644178	0.0578401006474064
ENSMUSG00000031972.3	3.72711570217851	10.530857126573	86.3811605771687	1.48391840874899e-20	2.2662731698061e-17	Acta1	protein_coding	2670.58660713263	210.162678050481	2298.05730989764	123.116639881582	1181.80552731458	74.7555365586317
ENSMUSG00000036040.8	3.77386815414012	2.51497506455802	85.3756347165445	2.46742351433873e-20	3.39147362045859e-17	Adamtsl2	protein_coding	0.803447420542074	0.0874573718940192	1.85124549023488	0.0745192873792087	1.46070207820799	0.122149589354686
ENSMUSG00000053093.9	2.22955226941925	10.0142287649887	84.712698394333	3.45027376581907e-20	4.31127390101665e-17	Myh7	protein_coding	227.8003248765	47.3249969227639	269.867271302921	37.9601145296744	142.881571276315	34.6768590308628
ENSMUSG00000040659.3	2.07095020513269	3.41204681814057	83.4089971422009	6.67176517103816e-20	7.64195102299329e-17	Efhd2	protein_coding	6.57057830180108	1.61384054467876	8.23640183883605	1.72234196441124	7.96768213273604	1.37582546516828
